"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","absLatitude"
"Gadus morhua","pelagic",NA,1151.528,"TL",1.3449,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.04884503507453,0.296319660847366,63.548692
"Gadus morhua","pelagic",NA,1132.358,"TL",1.3584,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.0320574631822,0.306307536574946,63.548692
"Gadus morhua","pelagic",NA,1122.782,"TL",1.3663,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.02356481300903,0.312106356362305,63.548692
"Gadus morhua","pelagic",NA,1112.264,"TL",1.3774,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",7.01415285670516,0.320197664128461,63.548692
"Gadus morhua","pelagic",NA,1093.387,"TL",1.4315,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.99703549687129,0.358722845556033,63.548692
"Gadus morhua","pelagic",NA,1093.485,"TL",1.445,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.99712512260161,0.368109321564396,63.548692
"Gadus morhua","pelagic",NA,1073.564,"TL",1.488,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.97873923361348,0.3974329364109,63.548692
"Gadus morhua","pelagic",NA,1032.782,"TL",1.4437,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.94001141103044,0.367209262653632,63.548692
"Gadus morhua","pelagic",NA,1023.13,"TL",1.4412,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.93062183510185,0.365476099891801,63.548692
"Gadus morhua","pelagic",NA,1022.953,"TL",1.4167,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.93044882159219,0.348330223403168,63.548692
"Gadus morhua","pelagic",NA,1012.409,"TL",1.424,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.92008791839835,0.353469812989784,63.548692
"Gadus morhua","pelagic",NA,1042.523,"TL",1.3251,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.94939901577971,0.281487928288453,63.548692
"Gadus morhua","pelagic",NA,982.93,"TL",1.3441,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.89053790703172,0.295724644094966,63.548692
"Gadus morhua","pelagic",NA,942.316,"TL",1.3232,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.848340674799,0.28005304528729,63.548692
"Gadus morhua","pelagic",NA,982.393,"TL",1.4031,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.88999143196033,0.338684074417813,63.548692
"Gadus morhua","pelagic",NA,963.227,"TL",1.4172,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.87028910572314,0.34868309400918,63.548692
"Gadus morhua","pelagic",NA,923.705,"TL",1.4141,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.8283927565968,0.346493286331594,63.548692
"Gadus morhua","pelagic",NA,922.724,"TL",1.4117,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.82733016486724,0.344794651908017,63.548692
"Gadus morhua","pelagic",NA,903.043,"TL",1.4879,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.80577017133085,0.397365729851515,63.548692
"Gadus morhua","pelagic",NA,883.585,"TL",1.4614,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.78398749539462,0.37939488037498,63.548692
"Gadus morhua","pelagic",NA,872.25,"TL",1.3594,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.77107608006688,0.307043425930401,63.548692
"Gadus morhua","pelagic",NA,823.734,"TL",1.4447,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.71384766225934,0.367901687553199,63.548692
"Gadus morhua","pelagic",NA,823.65,"TL",1.4331,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.71374568239299,0.359839930081889,63.548692
"Gadus morhua","pelagic",NA,813.088,"TL",1.438,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.70083934477258,0.363253259298855,63.548692
"Gadus morhua","pelagic",NA,803.374,"TL",1.427,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.68882035894196,0.355574338494699,63.548692
"Gadus morhua","pelagic",NA,823.361,"TL",1.3932,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.7133947436282,0.331603259509709,63.548692
"Gadus morhua","pelagic",NA,842.141,"TL",1.3256,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.73594745865503,0.281865187130216,63.548692
"Gadus morhua","pelagic",NA,821.994,"TL",1.3373,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.71173309575947,0.290652655896614,63.548692
"Gadus morhua","pelagic",NA,831.752,"TL",1.3545,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.72353431946438,0.303432382543013,63.548692
"Gadus morhua","pelagic",NA,832.778,"TL",1.3631,"",NA,"Coastal Iceland","1996","14",FALSE,TRUE,63.548692,-22.584796,"marteinsdottir_g_2002_m235_235.pdf",6.72476710004501,0.30976151759466,63.548692
