"Species","spawningMode","FemaleMass_g","FemaleSize_mm","Fecundity_nOfEggs_per_female","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","lnFecundity","absLatitude"
"Ethmalosa fimbriata","pelagic",NA,274.28,30996.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.61414948241616,-0.867500567704723,10.3416263476915,5.085431
"Ethmalosa fimbriata","pelagic",NA,275.72,34021.7,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.61938585801745,-0.867500567704723,10.4347538353069,5.085431
"Ethmalosa fimbriata","pelagic",NA,264.571,36522.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.57810964627909,-0.867500567704723,10.5056810499647,5.085431
"Ethmalosa fimbriata","pelagic",NA,260.405,39549.9,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.56223811137895,-0.867500567704723,10.5853184447476,5.085431
"Ethmalosa fimbriata","pelagic",NA,286.238,36513.9,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.65682363259234,-0.867500567704723,10.5054482889941,5.085431
"Ethmalosa fimbriata","pelagic",NA,296.644,34656.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.69253276664472,-0.867500567704723,10.453237691747,5.085431
"Ethmalosa fimbriata","pelagic",NA,295.104,39611.8,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.68732783658424,-0.867500567704723,10.5868823326534,5.085431
"Ethmalosa fimbriata","pelagic",NA,281.364,41508.4,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.6396492047266,-0.867500567704723,10.6336510953753,5.085431
"Ethmalosa fimbriata","pelagic",NA,292.753,42525.2,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.6793292500769,-0.867500567704723,10.6578521203688,5.085431
"Ethmalosa fimbriata","pelagic",NA,284.585,43057.9,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.65103197871511,-0.867500567704723,10.6703010005698,5.085431
"Ethmalosa fimbriata","pelagic",NA,280.359,43702.6,"TL",0.42,"",NA,"Elmina fishing harbour, Kakum River estuary","Before 1982","",FALSE,FALSE,5.085431,-1.345753,"blay_j-jr_1982_j21_485.pdf",5.63607092478313,-0.867500567704723,10.6851628758813,5.085431
