"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","Fecundity_nOfEggs_per_female","typeOfWork_Fecundity","timeToFecundityMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnFecundity","absLatitude"
"Hoplostethus atlanticus","pelagic",NA,390.14,"SL",50292,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.96650564906679,10.8256012977131,41.355563
"Hoplostethus atlanticus","pelagic",NA,389.94,"SL",35450,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.96599288113431,10.4758785319603,41.355563
"Hoplostethus atlanticus","pelagic",NA,390.19,"SL",31564,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.96663379997747,10.3597725096409,41.355563
"Hoplostethus atlanticus","pelagic",NA,367.15,"SL",56914,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.90577048389762,10.9492966355443,41.355563
"Hoplostethus atlanticus","pelagic",NA,379.98,"SL",54139,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.94011861975639,10.899310092366,41.355563
"Hoplostethus atlanticus","pelagic",NA,376.36,"SL",49354,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.93054613213856,10.806774095275,41.355563
"Hoplostethus atlanticus","pelagic",NA,380.97,"SL",44249,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.94272063186905,10.6975880513107,41.355563
"Hoplostethus atlanticus","pelagic",NA,376.38,"SL",43524,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.93059927133671,10.6810677890709,41.355563
"Hoplostethus atlanticus","pelagic",NA,372.99,"SL",41920,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.92155160963296,10.6435183189949,41.355563
"Hoplostethus atlanticus","pelagic",NA,370.81,"SL",46682,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.91568980204434,10.7511139303841,41.355563
"Hoplostethus atlanticus","pelagic",NA,367.67,"SL",44726,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.90718579672743,10.7083102669867,41.355563
"Hoplostethus atlanticus","pelagic",NA,361.14,"SL",43816,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.88926569478773,10.6877543264636,41.355563
"Hoplostethus atlanticus","pelagic",NA,380.76,"SL",30467,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.9421692553831,10.3243994096333,41.355563
"Hoplostethus atlanticus","pelagic",NA,376.17,"SL",30449,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.93004116887056,10.3238084318763,41.355563
"Hoplostethus atlanticus","pelagic",NA,378.57,"SL",35758,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.93640099633293,10.4845292993118,41.355563
"Hoplostethus atlanticus","pelagic",NA,378.33,"SL",34167,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.93576683063589,10.4390155449425,41.355563
"Hoplostethus atlanticus","pelagic",NA,373.49,"SL",35032,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.92289123045274,10.4640172084812,41.355563
"Hoplostethus atlanticus","pelagic",NA,376.39,"SL",35573,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.9306258398769,10.4793422021226,41.355563
"Hoplostethus atlanticus","pelagic",NA,370.83,"SL",36081,"Field",NA,"TAS, Australia","1987 May - 1992 July","",FALSE,FALSE,-41.355563,148.524125,"koslow_ja_1995_j47_1063.pdf",5.91574373656784,10.4935216899787,41.355563
